"","town_number","town_h","year","property_crimes","motor_thefts","drugs","assults","sexual_assult","robberies","spousal","town","total","town_type"
"1",472,"<U+05D0><U+05D1><U+05D5> <U+05D2><U+05D5><U+05E9>",2011,52,4,3,57,5,0,11,"ABU GHOSH",7907,"arab"
"2",472,"<U+05D0><U+05D1><U+05D5> <U+05D2><U+05D5><U+05E9>",2012,64,10,3,48,2,0,13,"ABU GHOSH",7907,"arab"
"3",472,"<U+05D0><U+05D1><U+05D5> <U+05D2><U+05D5><U+05E9>",2013,106,16,9,40,5,3,14,"ABU GHOSH",7907,"arab"
"4",473,"<U+05D0><U+05D1><U+05D5> <U+05E1><U+05E0><U+05D0><U+05DF>",2011,89,0,25,47,0,0,22,"ABU SINAN",13318,NA
"5",473,"<U+05D0><U+05D1><U+05D5> <U+05E1><U+05E0><U+05D0><U+05DF>",2012,57,3,25,59,0,2,16,"ABU SINAN",13318,NA
"6",473,"<U+05D0><U+05D1><U+05D5> <U+05E1><U+05E0><U+05D0><U+05DF>",2013,69,3,38,51,1,1,21,"ABU SINAN",13318,NA
"7",652,"<U+05D0><U+05D1><U+05D8><U+05DF>",2011,22,3,2,7,0,1,1,"IBTIN",2788,NA
"8",652,"<U+05D0><U+05D1><U+05D8><U+05DF>",2012,23,3,1,9,0,1,3,"IBTIN",2788,NA
"9",652,"<U+05D0><U+05D1><U+05D8><U+05DF>",2013,21,2,0,15,1,0,5,"IBTIN",2788,NA
"10",182,"<U+05D0><U+05D1><U+05DF> <U+05D9><U+05D4><U+05D5><U+05D3><U+05D4>",2011,454,79,7,40,6,0,18,"EVEN YEHUDA",14351,NA
"11",182,"<U+05D0><U+05D1><U+05DF> <U+05D9><U+05D4><U+05D5><U+05D3><U+05D4>",2012,263,38,7,50,5,2,31,"EVEN YEHUDA",14351,NA
"12",182,"<U+05D0><U+05D1><U+05DF> <U+05D9><U+05D4><U+05D5><U+05D3><U+05D4>",2013,265,26,12,45,9,1,27,"EVEN YEHUDA",14351,NA
"13",1358,"<U+05D0><U+05D5><U+05DD> <U+05D1><U+05D8><U+05D9><U+05DF>",2011,16,1,0,10,1,1,3,NA,3236,NA
"14",1358,"<U+05D0><U+05D5><U+05DD> <U+05D1><U+05D8><U+05D9><U+05DF>",2012,22,2,8,18,0,1,8,NA,3236,NA
"15",1358,"<U+05D0><U+05D5><U+05DD> <U+05D1><U+05D8><U+05D9><U+05DF>",2013,14,0,3,25,0,0,9,NA,3236,NA
