town_number,town_h,year,property_crimes,motor_thefts,drugs,assults,sexual_assult,robberies,spousal
472,אבו גוש   ,2011,52,4,3,57,5,0,11
472,אבו גוש   ,2012,64,10,3,48,2,0,13
472,אבו גוש   ,2013,106,16,9,40,5,3,14
473,אבו סנאן  ,2011,89,0,25,47,0,0,22
473,אבו סנאן  ,2012,57,3,25,59,0,2,16
473,אבו סנאן  ,2013,69,3,38,51,1,1,21
652,אבטן      ,2011,22,3,2,7,0,1,1
652,אבטן      ,2012,23,3,1,9,0,1,3
652,אבטן      ,2013,21,2,0,15,1,0,5
182,אבן יהודה ,2011,454,79,7,40,6,0,18
182,אבן יהודה ,2012,263,38,7,50,5,2,31
182,אבן יהודה ,2013,265,26,12,45,9,1,27
1358,אום בטין  ,2011,16,1,0,10,1,1,3
1358,אום בטין  ,2012,22,2,8,18,0,1,8
1358,אום בטין  ,2013,14,0,3,25,0,0,9
2400,אור יהודה ,2011,592,111,167,218,20,7,186
2400,אור יהודה ,2012,584,109,121,199,27,4,154
2400,אור יהודה ,2013,594,114,71,237,17,10,161
1020,אור עקיבא ,2011,345,54,141,129,12,2,65
1020,אור עקיבא ,2012,392,36,114,109,10,4,69
1020,אור עקיבא ,2013,381,37,95,116,13,3,63
565,אזור      ,2011,224,38,18,41,8,4,34
565,אזור      ,2012,207,47,37,45,4,5,26
565,אזור      ,2013,191,48,21,54,6,3,51
2600,אילת      ,2011,2065,80,543,639,105,54,366
2600,אילת      ,2012,2123,71,396,715,73,33,422
2600,אילת      ,2013,2088,68,544,922,109,48,523
478,אכסאל     ,2011,87,14,7,46,0,0,18
478,אכסאל     ,2012,74,11,7,48,2,1,11
478,אכסאל     ,2013,109,18,7,64,0,8,15
1359,אל סייד   ,2011,8,0,1,8,0,0,3
1359,אל סייד   ,2012,11,0,2,9,1,0,2
1359,אל סייד   ,2013,14,1,0,16,0,0,2
3604,אלון שבות ,2011,23,1,7,5,1,0,6
3604,אלון שבות ,2012,11,1,0,4,1,0,1
3604,אלון שבות ,2013,11,3,2,1,1,0,3
41,אליכין    ,2011,36,9,6,11,0,0,4
41,אליכין    ,2012,30,2,3,8,0,0,5
41,אליכין    ,2013,47,12,0,14,0,0,6
1309,אלעד      ,2011,186,19,40,110,20,0,66
1309,אלעד      ,2012,212,23,26,110,26,0,64
1309,אלעד      ,2013,211,18,37,128,24,3,83
3750,אלפי מנשה ,2011,42,4,17,22,2,0,17
3750,אלפי מנשה ,2012,66,3,28,21,2,0,12
3750,אלפי מנשה ,2013,45,6,18,17,3,1,6
3560,אלקנה     ,2011,27,1,0,4,0,0,1
3560,אלקנה     ,2012,11,0,3,6,0,0,1
