town_type,town_name_h,case,case_resolution,2005,2006,2007,2008,2009
jewish,אדנה,פרקליטות,,,,,1,
jewish,אור יהודה,פתוח,,,1,,,
jewish,,סגור,לא ידוע,,1,,,
jewish,אור עקיבא,פתוח,,1,2,,,
jewish,,פרקליטות,,1,,,,
jewish,,נידון,,,1,,,
jewish,אזור,נידון,,,1,,,
jewish,אילת,פתוח,,,,1,2,
jewish,,סגור,רשות שיפוט,,,1,,
jewish,,,לא ידוע,,,2,,
jewish,,נידון,,1,,,,
jewish,,פרקליטות,,,,1,,
jewish,אילת השחר,נידון,,,1,,,
jewish,אמן,נידון,,,,1,,
jewish,אפקים,פרקליטות,,,,,1,
jewish,ארז,סגור,לא ידוע,1,,,,
jewish,אריאל,פתוח,,,,,1,
jewish,אשדוד,פתוח,,1,1+ 1,1+ 1,4+ 1,
jewish,,סגור,"לא ידוע, על""ן",,,1,1,
jewish,,פרקליטות,,,1,1,1,
jewish,אשקלון,פתוח,,,,1,,
jewish,,סגור,"לא ידוע, לא ידוע, על""ן",1,1,,1,
jewish,,נידון,,1,1,,,
jewish,,פרקליטות,,,2,,2,
jewish,באר יעקב,פתוח,,,,,1,
jewish,,סגור,לא ידוע,,1,,,
jewish,באר שבע,פתוח,,2+ 1,,4,1,
jewish,,סגור,לא ידוע,,1,,,
jewish,,נידון,,2,,,,
jewish,,פרקליטות,,1,1,4,3,
jewish,,,,,,,,
jewish,בית גברין,פתוח,,1,,,,
jewish,,סגור,"על""ן",1,,,,
jewish,בית השטה,פתוח,,,,1,,
jewish,,סגור,לא ידוע,,,,1,
jewish,בית שמש,נידון,,,,1,,
jewish,,פרקליטות,,,2,,,
jewish,בני ברק,פתוח,,1,1,,,
jewish,,נידון,,1,1,,,
jewish,,פרקליטות,,,,,1,
jewish,בני ראם,פתוח,,1,,,,
jewish,בנימינה,פתוח,,,,,1,
jewish,בצרה,פתוח,,,,,,1
jewish,בצת,פרקליטות,,,,1,,
jewish,בקעות,נידון,,1,,,,
jewish,,פרקליטות,,,1,,,
jewish,בת ים,פתוח,,1,,2,1+ 1,
jewish,,סגור,"על""ן",,,,1,
jewish,,נידון,,3,2,,,
jewish,,פרקליטות,,,1,1,2,
jewish,גאולים,פתוח,,,,,1,
jewish,גאליה,נידון,,1,,,,
jewish,גבעת עז,פרקליטות,,,,,1,
jewish,גבעתים,פתוח,,,1,,,
jewish,גדות,נידון,,,,1,,
jewish,גדרה,סגור,לא ידוע,1,,,,
jewish,גמזו,סגור,חוסר ראיות,,1,,,
jewish,גנות,סגור,"על""ן",1,,,,
jewish,גני טל,סגור,לא ידוע,1,,,,
jewish,גניגר,סגור,לא ידוע,1,,,,
jewish,גני תקוה,פתוח,,,,1,,
jewish,גרנות גליל,פתוח,,,,1,,
jewish,דימונה,סגור,מות הנאשם,,1,,,
jewish,,נידון,,1,,,,
jewish,,פרקליטות,,,,,2,
jewish,הוד השרון,פתוח,,,,,1,
jewish,הרצליה,פתוח,,,,,1,
jewish,,סגור,לא ידוע,,,,1,
jewish,,נידון,,,1,1,,
jewish,,פרקליטות,,,,,1,
jewish,חגי,נידון,,1,,,,
jewish,,תביעה,,1,,,,
jewish,חדרה,פתוח,,2+ 1,,,,
jewish,,סגור,אין אשמה פלילית,,1,,,
jewish,,נידון,,3,1,,,
jewish,חולון,פתוח,,1,,1,,
jewish,,סגור,אין אשמה פלילית ,1,,,,
jewish,,,"על""ן",1,,,,
jewish,,,לא ידוע,,,1,,
jewish,,נידון,,1,,,,
jewish,,פרקליטות,,,1,2,1,
jewish,חמש,פרקליטות,,,1,,,
jewish,חצב,פתוח,,,1,,,
jewish,חצ הגלילית,סגור,"על""ן",1,,,,
jewish,,נידון,,1,,,,
jewish,טבריה,פתוח,,,,1,1,
jewish,,סגור,"לא ידוע, על""ן ",1,,1,,
jewish,,נידון,,,2,1,2,
jewish,טירת כרמל,סגור,לא ידוע,,1,,,
jewish,,נידון,,,1,,,
jewish,,פרקליטות,,,,,1,
jewish,יבנה,סגור,"על""ן",,2,,,
jewish,יצהר,סגור,לא ידוע,,,,1,
jewish,יציץ,פרקליטות,,,,,1,
jewish,יקיר,סגור,לא ידוע,,,,1,
jewish,ישע,סגור,"על""ן",,,,1,
jewish,יתד,פרקליטות,,,1,,,
jewish,כברי,פתוח,,,,1,,
jewish,כוכב,נידון,,,,1,,
jewish,כסופים,סגור,לא ידוע,2,,,,
jewish,כפר חסידים א,נידון,,1,,,,
jewish,כפר מונש,פתוח,,,,,1,
jewish,כפר סבא,פתוח,,1,,,,
jewish,,סגור,"על""ן",,,1,,
jewish,כפר תבור,פרקליטות,,,,1,,
jewish,כרם שלום,סגור,"על""ן",,1,,,
jewish,כרמיאל,נידון,,1,,,,
jewish,,פרקליטות,,,,1,,
jewish,לטם,סגור,מות הנאשם,1,,,,
jewish,מגדל העמק,נידון,,1,1,,,
jewish,,פרקליטות,,,1,,,
jewish,מגדלים,תביעה,,,1,,,
jewish,מורג,סגור,לא ידוע,1,,,,
jewish,מורן,נידון,,1,,,,
