town_number,town‪_‬name,region_number,region,sector_number,sector,muni_number,muni,total,age_0-6,age_6-18,age_19-45,age_46-55,age_56-64,age_65+
0         ,לא רשום                  ,0         ,לא ידוע                  ,0         ,                         ,0         ,                         ,17287     ,198       ,564       ,975       ,675       ,625       ,14250
7         ,שחר                      ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,748       ,71        ,190       ,259       ,85        ,53        ,90
10        ,תירוש                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,466       ,37        ,103       ,159       ,67        ,44        ,56
11        ,ניר ח"ן                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,601       ,48        ,149       ,193       ,71        ,55        ,85
13        ,חצבה                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,669       ,81        ,144       ,224       ,50        ,46        ,124
15        ,נועם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,447       ,43        ,101       ,162       ,43        ,35        ,63
16        ,בית ניר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,669       ,41        ,204       ,203       ,111       ,39        ,71
18        ,שדה משה                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,618       ,70        ,154       ,216       ,57        ,64        ,57
21        ,באר אורה                 ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,894       ,76        ,332       ,276       ,150       ,34        ,26
22        ,מקווה ישראל              ,53        ,חולון                    ,53        ,חולון                    ,0         ,                         ,215       ,18        ,39        ,79        ,23        ,20        ,36
23        ,אמציה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,494       ,66        ,145       ,198       ,36        ,18        ,31
24        ,לכיש                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,785       ,46        ,209       ,233       ,159       ,39        ,99
26        ,ראש פינה                 ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,3267      ,260       ,615       ,1166      ,412       ,295       ,519
27        ,שדות מיכה                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,408       ,39        ,104       ,133       ,46        ,39        ,47
28        ,מזכרת בתיה               ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,15550     ,1408      ,4092      ,5511      ,2036      ,1147      ,1356
29        ,יסוד המעלה               ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1693      ,134       ,364       ,586       ,229       ,156       ,224
31        ,אופקים                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,30844     ,3770      ,6706      ,11680     ,2907      ,2505      ,3276
32        ,עוצם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,605       ,67        ,119       ,209       ,72        ,61        ,77
33        ,בת שלמה                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,665       ,56        ,173       ,234       ,88        ,59        ,55
35        ,גדות                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,490       ,47        ,65        ,182       ,52        ,41        ,103
36        ,שדה דוד                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,582       ,75        ,132       ,206       ,55        ,41        ,73
37        ,איתן                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,507       ,54        ,124       ,178       ,60        ,43        ,48
38        ,כרי דשא                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,4         ,0         ,0         ,0         ,1         ,1         ,2
39        ,גפן                      ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,394       ,50        ,86        ,136       ,37        ,33        ,52
41        ,אליכין                   ,41        ,השרון                    ,32        ,חדרה                     ,0         ,                         ,3754      ,342       ,821       ,1279      ,487       ,376       ,449
43        ,מטולה                    ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1750      ,87        ,249       ,765       ,177       ,209       ,263
44        ,זוהר                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,383       ,44        ,75        ,146       ,25        ,45        ,48
46        ,יבנאל                    ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,4364      ,600       ,1316      ,1427      ,368       ,302       ,351
47        ,כפר תבור                 ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,4542      ,347       ,1069      ,1585      ,577       ,445       ,519
