"town","region","year","assults","total"
"JERUSALEM","<U+05D9><U+05E8><U+05D5><U+05E9><U+05DC><U+05D9><U+05DD>",2011,4583,975789
"TEL AVIV - YAFO","<U+05EA><U+05DC> <U+05D0><U+05D1><U+05D9><U+05D1>",2011,3418,533986
"HAIFA","<U+05D7><U+05D9><U+05E4><U+05D4>",2011,2357,320469
"RISHON LEZIYYON","<U+05E8><U+05D7><U+05D5><U+05D1><U+05D5><U+05EA>",2011,1112,267116
"PETAH TIQWA","<U+05E4><U+05EA><U+05D7> <U+05EA><U+05E7><U+05D5><U+05D5><U+05D4>",2011,1013,264093
"ASHDOD","<U+05D0><U+05E9><U+05E7><U+05DC><U+05D5><U+05DF>",2011,1171,251343
"NETANYA","<U+05D4><U+05E9><U+05E8><U+05D5><U+05DF>",2011,1269,244243
"BE'ER SHEVA","<U+05D1><U+05D0><U+05E8> <U+05E9><U+05D1><U+05E2>",2011,1534,219798
"HOLON","<U+05D7><U+05D5><U+05DC><U+05D5><U+05DF>",2011,835,210555
"BENE BERAQ","<U+05E8><U+05DE><U+05EA> <U+05D2><U+05DF>",2011,433,202278
"RAMAT GAN","<U+05E8><U+05DE><U+05EA> <U+05D2><U+05DF>",2011,558,164043
"BAT YAM","<U+05D7><U+05D5><U+05DC><U+05D5><U+05DF>",2011,858,158421
"ASHQELON","<U+05D0><U+05E9><U+05E7><U+05DC><U+05D5><U+05DF>",2011,724,151373
"REHOVOT","<U+05E8><U+05D7><U+05D5><U+05D1><U+05D5><U+05EA>",2011,457,149439
"BET SHEMESH","<U+05D9><U+05E8><U+05D5><U+05E9><U+05DC><U+05D9><U+05DD>",2011,420,123139
"KEFAR SAVA","<U+05E4><U+05EA><U+05D7> <U+05EA><U+05E7><U+05D5><U+05D5><U+05D4>",2011,372,108886
"HERZELIYYA","<U+05EA><U+05DC> <U+05D0><U+05D1><U+05D9><U+05D1>",2011,328,105608
"HADERA","<U+05D7><U+05D3><U+05E8><U+05D4>",2011,559,101721
"MODI'IN-MAKKABBIM-RE","<U+05E8><U+05DE><U+05DC><U+05D4>",2011,197,93447
"RA'ANANA","<U+05E4><U+05EA><U+05D7> <U+05EA><U+05E7><U+05D5><U+05D5><U+05D4>",2011,245,87131
"NAZARETH","<U+05E0><U+05E6><U+05E8><U+05EA>",2011,409,81510
"LOD","<U+05E8><U+05DE><U+05DC><U+05D4>",2011,566,81068
"RAMLA","<U+05E8><U+05DE><U+05DC><U+05D4>",2011,595,80561
"MODI'IN ILLIT","<U+05E8><U+05D0><U+05DE><U+05D0><U+05DC><U+05DC><U+05D4>",2011,70,72189
"ELAT","<U+05D1><U+05D0><U+05E8> <U+05E9><U+05D1><U+05E2>",2011,639,66180
"NAHARIYYA","<U+05E2><U+05DB><U+05D5>",2011,353,65254
"HOD HASHARON","<U+05E4><U+05EA><U+05D7> <U+05EA><U+05E7><U+05D5><U+05D5><U+05D4>",2011,188,63460
"RAHAT","<U+05D1><U+05D0><U+05E8> <U+05E9><U+05D1><U+05E2>",2011,209,63371
"QIRYAT ATTA","<U+05D7><U+05D9><U+05E4><U+05D4>",2011,331,62573
"GIV'ATAYIM","<U+05E8><U+05DE><U+05EA> <U+05D2><U+05DF>",2011,128,62312
"QIRYAT GAT","<U+05D0><U+05E9><U+05E7><U+05DC><U+05D5><U+05DF>",2011,319,59050
"BETAR ILLIT","<U+05D1><U+05D9><U+05EA> <U+05DC><U+05D7><U+05DD>",2011,84,58215
"AKKO","<U+05E2><U+05DB><U+05D5>",2011,401,55788
"UMM AL-FAHM","<U+05D7><U+05D3><U+05E8><U+05D4>",2011,121,55110
"KARMI'EL","<U+05E2><U+05DB><U+05D5>",2011,253,53618
"AFULA","<U+05E2><U+05E4><U+05D5><U+05DC><U+05D4>",2011,329,53229
"ROSH HAAYIN","<U+05E4><U+05EA><U+05D7> <U+05EA><U+05E7><U+05D5><U+05D5><U+05D4>",2011,178,52940
"RAMAT HASHARON","<U+05EA><U+05DC> <U+05D0><U+05D1><U+05D9><U+05D1>",2011,116,50541
"NAZERAT ILLIT","<U+05E0><U+05E6><U+05E8><U+05EA>",2011,339,50273
"NES ZIYYONA","<U+05E8><U+05D7><U+05D5><U+05D1><U+05D5><U+05EA>",2011,119,48583
"TIBERIAS","<U+05DB><U+05E0><U+05E8><U+05EA>",2011,405,48353
"YAVNE","<U+05E8><U+05D7><U+05D5><U+05D1><U+05D5><U+05EA>",2011,157,47756
"QIRYAT MOTZKIN","<U+05D7><U+05D9><U+05E4><U+05D4>",2011,211,47497
NA,"<U+05E4><U+05EA><U+05D7> <U+05EA><U+05E7><U+05D5><U+05D5><U+05D4>",2011,110,46712
"QIRYAT YAM","<U+05D7><U+05D9><U+05E4><U+05D4>",2011,231,45669
"QIRYAT BIALIK","<U+05D7><U+05D9><U+05E4><U+05D4>",2011,258,44261
"TAYIBE","<U+05D4><U+05E9><U+05E8><U+05D5><U+05DF>",2011,203,43349
"PARDES HANNA-KARKUR","<U+05D7><U+05D3><U+05E8><U+05D4>",2011,187,43026
"SHEFAR'AM","<U+05E2><U+05DB><U+05D5>",2011,228,41089
"MA'ALE ADUMMIM","<U+05D1><U+05D9><U+05EA> <U+05DC><U+05D7><U+05DD>",2011,173,41047
