"town","town_number"
"ABU GHOSH",472
"ABU GHOSH",472
"ABU GHOSH",472
"ABU SINAN",473
"ABU SINAN",473
"ABU SINAN",473
"IBTIN",652
"IBTIN",652
"IBTIN",652
"EVEN YEHUDA",182
"EVEN YEHUDA",182
"EVEN YEHUDA",182
"Um Betin",1358
"Um Betin",1358
"Um Betin",1358
"OR YEHUDA",2400
"OR YEHUDA",2400
"OR YEHUDA",2400
"OR AQIVA",1020
"OR AQIVA",1020
"OR AQIVA",1020
"AZOR",565
"AZOR",565
"AZOR",565
"ELAT",2600
"ELAT",2600
"ELAT",2600
"IKSAL",478
"IKSAL",478
"IKSAL",478
"Al Sayyid",1359
"Al Sayyid",1359
"Al Sayyid",1359
"ALLON SHEVUT",3604
"ALLON SHEVUT",3604
"ALLON SHEVUT",3604
"ELYAKHIN",41
"ELYAKHIN",41
"ELYAKHIN",41
"Elad",1309
"Elad",1309
"Elad",1309
"ALFE MENASHE",3750
"ALFE MENASHE",3750
"ALFE MENASHE",3750
"ELQANA",3560
"ELQANA",3560
"ELQANA",3560
"UMM AL-FAHM",2710
"UMM AL-FAHM",2710
"UMM AL-FAHM",2710
"I'BILLIN",529
"I'BILLIN",529
"I'BILLIN",529
"OFAQIM",31
"OFAQIM",31
"OFAQIM",31
"EFRAT",3650
"EFRAT",3650
"EFRAT",3650
"ARI'EL",3570
"ARI'EL",3570
"ARI'EL",3570
"ORANIT",3760
"ORANIT",3760
"ORANIT",3760
"ASHDOD",70
"ASHDOD",70
"ASHDOD",70
"ASHQELON",7100
"ASHQELON",7100
"ASHQELON",7100
"Baqa al Gharbiya",6000
"Baqa al Gharbiya",6000
"Baqa al Gharbiya",6000
"BE'ER YA'AQOV",2530
"BE'ER YA'AQOV",2530
"BE'ER YA'AQOV",2530
"BE'ER SHEVA",9000
"BE'ER SHEVA",9000
"BE'ER SHEVA",9000
"Bir Hadag",1348
"Bir Hadag",1348
"Bir Hadag",1348
"BIR EL-MAKSUR",998
"BIR EL-MAKSUR",998
"BIR EL-MAKSUR",998
"BET EL",3574
"BET EL",3574
"BET EL",3574
"BET ARYE",3652
"BET ARYE",3652
"BET ARYE",3652
"BEIT JANN",480
"BEIT JANN",480
"BEIT JANN",480
"BET DAGAN",466
"BET DAGAN",466
"BET DAGAN",466
"BET SHE'AN",9200
"BET SHE'AN",9200
"BET SHE'AN",9200
"BET SHEMESH",2610
"BET SHEMESH",2610
"BET SHEMESH",2610
"BETAR ILLIT",3780
"BETAR ILLIT",3780
"BETAR ILLIT",3780
"BENE BERAQ",6100
"BENE BERAQ",6100
"BENE BERAQ",6100
"BENE AYISH",1066
"BENE AYISH",1066
"BENE AYISH",1066
"BINYAMINA",9800
"BINYAMINA",9800
"BINYAMINA",9800
"BASMA",1326
"BASMA",1326
"BASMA",1326
"BASMAT TAB'UN",944
"BASMAT TAB'UN",944
"BASMAT TAB'UN",944
"BU'EINE-NUJEIDAT",482
"BU'EINE-NUJEIDAT",482
"BU'EINE-NUJEIDAT",482
"BUQ'ATA",4001
"BUQ'ATA",4001
"BUQ'ATA",4001
"BAT HEFER",1319
"BAT HEFER",1319
"BAT HEFER",1319
"BAT YAM",6200
"BAT YAM",6200
"BAT YAM",6200
"JUDEIDE-MAKER",1292
"JUDEIDE-MAKER",1292
